sbj_id,acc_x,acc_y,acc_z,label
5,-1.65039,2.39551,0.17236,jumping
5,-4.45923,4.24902,0.64087,jumping
5,-4.23462,3.26904,0.58789,jumping
5,-2.39307,0.20337,0.99854,jumping
5,-1.0791,-1.31177,0.62109,jumping
5,-0.94775,-0.29053,0.33008,jumping
5,-1.18066,0.18188,0.19116,jumping
5,-2.40283,1.34375,-0.3313,jumping
5,-4.80981,1.11426,0.00903,jumping
5,-4.04663,1.06592,-0.01245,jumping
5,-1.52808,0.79736,-0.82764,jumping
5,-0.22437,0.70215,-1.5708,jumping
5,-0.12305,1.02124,-1.16748,jumping
5,-2.14087,2.01147,-0.25244,jumping
5,-5.50122,4.44116,0.53882,jumping
5,-5.11963,3.05054,0.70435,jumping
5,-2.53174,-0.43848,0.70435,jumping
5,-1.41895,-1.97314,0.81982,jumping
5,-0.72412,-1.10571,0.50415,jumping
5,-0.7002,-0.10718,0.34937,jumping
5,-0.72046,0.26978,0.0022,jumping
5,-1.84326,0.98438,-0.41992,jumping
5,-4.53857,0.5127,-0.18286,jumping
5,-4.24512,1.06323,-0.12622,jumping
5,-1.50708,0.8894,-0.87476,jumping
5,-0.02173,0.35718,-1.67139,jumping
5,-2.2832,2.85718,0.07349,jumping
5,-5.73047,5.42847,0.72266,jumping
5,-4.79028,3.31567,0.76196,jumping
5,-2.67041,-0.48169,0.83423,jumping
5,-1.85962,-1.89185,1.12549,jumping
5,-0.98291,-1.08081,0.70166,jumping
5,-0.84302,0.0166,0.30273,jumping
5,-0.75684,0.18237,0.17847,jumping
5,-1.64111,1.06152,-0.23022,jumping
5,-3.91919,1.40796,-0.44653,jumping
5,-5.00342,1.15161,-0.40698,jumping
5,-2.1145,0.41724,-0.65771,jumping
5,-0.12207,0.56494,-1.61572,jumping
5,-0.0481,0.83276,-1.42383,jumping
5,-1.52905,2.09644,-0.06592,jumping
5,-4.63843,5.48218,1.46533,jumping
5,-4.92651,4.45679,1.73999,jumping
5,-3.25659,-0.15015,1.04541,jumping
5,-2.15259,-2.37036,1.12476,jumping
5,-1.20996,-1.06519,0.4856,jumping
