sbj_id,acc_x,acc_y,acc_z,label
7,0.03345,0.50073,-0.90283,jumping
7,-0.19849,0.46606,-0.67505,jumping
7,0.36646,-0.05298,-0.48364,jumping
7,1.50806,-1.18896,-0.00073,jumping
7,0.74609,-0.68799,0.08813,jumping
7,-0.25806,0.21118,-0.08569,jumping
7,-0.07764,0.19141,-0.02246,jumping
7,0.07812,0.07642,-0.14722,jumping
7,0.42139,-0.21289,-0.32153,jumping
7,2.00171,-1.07495,0.0481,jumping
7,2.98047,-1.72827,0.68433,jumping
7,0.34961,-0.25146,-0.26685,jumping
7,-0.27808,0.47632,-0.53418,jumping
7,0.31152,0.23584,-0.21338,jumping
7,-0.08472,0.21118,-0.40576,jumping
7,0.93115,-0.33276,1.04175,jumping
7,1.9436,-1.40527,0.31689,jumping
7,-0.39258,-0.05054,-0.75659,jumping
7,0.1709,0.22388,-0.17603,jumping
7,0.01709,0.33374,-0.39893,jumping
7,0.10913,0.104,-0.25293,jumping
7,1.26465,-0.40137,0.0061,jumping
7,3.4668,-1.74927,1.38281,jumping
7,1.40356,-1.05615,0.18457,jumping
7,-0.33105,0.14502,-0.68213,jumping
7,0.32397,0.2439,-0.19336,jumping
7,-0.10083,0.4209,-0.35205,jumping
7,0.1792,0.04614,-0.13965,jumping
7,1.32275,-0.49536,0.06885,jumping
7,3.41138,-1.80005,1.12085,jumping
7,1.27539,-1.11963,-0.23755,jumping
7,-0.29297,0.02515,-0.52344,jumping
7,0.21118,0.29834,0.06836,jumping
7,-0.14502,0.34106,-0.28589,jumping
7,0.32031,-0.0481,-0.15698,jumping
7,1.65771,-0.53613,0.18091,jumping
7,3.65723,-1.8645,1.60059,jumping
7,0.98584,-0.53442,-0.14062,jumping
7,-0.40137,0.21631,-0.85693,jumping
7,0.31177,-0.07104,-0.19849,jumping
7,-0.15308,0.26587,-0.31934,jumping
7,0.1604,-0.02124,-0.18335,jumping
7,0.68848,-0.17627,-0.31152,jumping
7,3.66602,-1.31616,1.24805,jumping
7,2.37915,-1.09863,0.38843,jumping
7,-0.29736,-0.26147,-0.75757,jumping
7,0.11914,0.13281,-0.16797,jumping
7,-0.04028,0.33618,-0.27173,jumping
7,-0.00757,0.02881,-0.27441,jumping
7,0.22998,-0.15063,-0.2439,jumping
7,2.3562,-0.70898,0.5625,jumping
7,3.60645,-1.51587,1.26123,jumping
