sbj_id,acc_x,acc_y,acc_z,label
4,0.12427,-0.15063,0.06226,jumping
4,-1.13403,0.26221,-0.38306,jumping
4,-1.4668,-0.27881,1.04053,jumping
4,-1.52588,0.15845,-0.11475,jumping
4,-0.51392,-0.17603,0.03418,jumping
4,0.76514,-0.78418,0.14038,jumping
4,1.47217,-0.62891,-0.20581,jumping
4,1.95996,-0.77319,-0.60425,jumping
4,2.58521,0.02344,-0.88623,jumping
4,3.00781,0.26636,-1.40137,jumping
4,2.75879,-0.42017,-1.34399,jumping
4,1.98755,-0.62817,-1.49048,jumping
4,0.24487,-0.2771,-0.57007,jumping
4,-2.5249,0.05127,0.49561,jumping
4,0.1123,0.03687,0.85449,jumping
4,-0.88403,0.18359,0.00342,jumping
4,-0.39868,0.12256,0.08594,jumping
4,0.31348,-0.72559,-0.21167,jumping
4,1.21826,-0.68335,-0.50562,jumping
4,2.04419,-0.61523,-1.51538,jumping
4,2.38281,-1.21167,-1.61255,jumping
4,2.46045,-0.52734,-1.47754,jumping
4,2.19946,-1.17285,-1.23779,jumping
4,1.50391,-1.13013,-0.85376,jumping
4,-0.04663,0.4187,-0.43579,jumping
4,-1.69165,0.3894,0.16309,jumping
4,0.45386,-0.32935,0.75,jumping
4,-0.79492,0.177,0.19629,jumping
4,-0.50659,-0.13574,0.30884,jumping
4,-0.13647,-0.31299,-0.23682,jumping
4,0.41309,-0.64136,-0.53735,jumping
4,1.92847,-0.6106,-0.56079,jumping
4,2.77075,-0.84253,-1.1062,jumping
4,3.26929,-0.38452,-1.30542,jumping
4,2.01782,-0.84302,-0.74268,jumping
4,0.58887,0.07642,-0.44385,jumping
4,-0.88306,0.29956,0.04053,jumping
4,-0.92407,-0.06299,0.28271,jumping
4,-0.5144,-0.00073,-0.09546,jumping
4,-0.42603,0.10034,-0.01001,jumping
4,-0.14331,-0.34229,-0.00073,jumping
4,-0.35278,-0.79419,0.05981,jumping
4,2.24512,-1.19678,-0.40259,jumping
4,3.53711,-1.72461,-1.84497,jumping
4,3.30273,-0.63647,-1.60986,jumping
4,2.37915,-0.72778,-1.15796,jumping
4,0.89453,-0.479,-0.35913,jumping
4,-1.62329,0.7356,0.28296,jumping
4,-0.9917,-0.16528,0.29004,jumping
4,-0.30054,-0.04395,0.0791,jumping
4,-0.54028,-0.26807,0.02344,jumping
4,-0.25903,-0.21924,-0.1189,jumping
4,0.29053,-0.82715,-0.15015,jumping
4,2.28638,-0.72974,-0.59741,jumping
4,3.1958,-0.75659,-1.34399,jumping
4,3.11401,-0.25146,-1.57666,jumping
