sbj_id,acc_x,acc_y,acc_z,label
7,0.53711,-0.16943,-1.07397,jumping
7,0.41333,-0.17261,-1.04785,jumping
7,0.95923,-0.73218,-0.2312,jumping
7,0.83691,-0.64697,0.02832,jumping
7,-0.01807,0.04175,-0.16138,jumping
7,-0.06226,0.16602,-0.15698,jumping
7,-0.01001,0.04004,-0.24976,jumping
7,0.77637,-0.17676,-0.43042,jumping
7,1.7124,-0.54224,0.49268,jumping
7,-0.62622,0.2251,-0.61475,jumping
7,0.16577,0.19385,-0.16138,jumping
7,0.12915,0.22168,-0.46118,jumping
7,1.24561,-0.15234,-0.34961,jumping
7,3.54688,-1.00073,1.03003,jumping
7,1.19458,-0.38672,0.13574,jumping
7,-0.65552,0.16821,-0.74512,jumping
7,0.18994,0.05762,-0.09448,jumping
7,-0.12671,0.20093,-0.44971,jumping
7,0.5874,-0.30762,-0.55371,jumping
7,3.04175,-1.25854,0.5249,jumping
7,2.67407,-0.70117,0.6311,jumping
7,-0.33179,0.43237,-0.65747,jumping
7,0.0188,0.11572,-0.24731,jumping
7,0.13843,0.07153,-0.18872,jumping
7,-0.19873,-0.04956,-0.19702,jumping
7,1.3457,-0.15869,-0.39087,jumping
7,3.55518,-1.26831,0.95459,jumping
7,1.90332,-0.61377,0.24512,jumping
7,-0.66626,0.31128,-0.78516,jumping
7,0.20679,0.13208,-0.05078,jumping
7,0.05908,0.22168,-0.28711,jumping
7,0.00488,-0.0708,-0.30688,jumping
7,1.6687,-0.36475,-0.41919,jumping
7,3.66113,-1.45068,0.80591,jumping
7,1.19922,-0.40796,0.21777,jumping
7,-0.6626,0.60718,-0.60913,jumping
7,0.21289,0.21973,-0.19873,jumping
7,-0.08496,0.14795,-0.27026,jumping
7,0.32739,-0.11719,-0.45801,jumping
7,2.40259,-0.83643,-0.22974,jumping
7,3.26538,-0.98901,0.63574,jumping
7,0.08838,0.35718,-0.50122,jumping
7,0.36475,0.11914,-0.14746,jumping
7,-0.271,0.23486,-0.3833,jumping
7,0.67456,-0.16064,-0.26172,jumping
7,2.95361,-1.04443,0.74023,jumping
7,2.99902,-0.91675,0.62915,jumping
7,-0.38843,0.2644,-0.75122,jumping
7,-0.06909,0.2041,-0.28906,jumping
7,0.28833,0.16919,-0.23291,jumping
7,-0.25366,0.04077,-0.33887,jumping
7,1.00317,0.0376,-0.41504,jumping
7,3.6189,-1.11035,1.05542,jumping
7,2.29248,-0.80737,0.28467,jumping
7,-0.86719,-0.0271,-0.79565,jumping
7,0.20093,0.19165,-0.04468,jumping
7,0.12988,0.27612,-0.16699,jumping
7,-0.07471,-0.04639,-0.17139,jumping
7,1.34229,-0.09106,-0.37842,jumping
7,3.79077,-1.6731,1.60547,jumping
7,1.45435,-0.76001,0.55273,jumping
7,-0.88672,0.4248,-0.7627,jumping
7,0.30566,0.16772,-0.17432,jumping
7,-0.05859,0.1792,-0.45264,jumping
7,0.1814,-0.14575,-0.36279,jumping
7,2.07861,-0.88159,-0.35034,jumping
7,3.61157,-0.9563,0.88794,jumping
7,0.41211,0.05249,-0.14819,jumping
7,-0.23828,0.28149,-0.39087,jumping
7,0.40332,0.39746,0.08887,jumping
7,-0.25952,0.26758,-0.23608,jumping
7,0.53931,0.13745,-0.34326,jumping
7,2.35889,-1.0415,0.23096,jumping
7,3.5874,-1.35059,0.75781,jumping
7,0.13477,0.06226,-0.54712,jumping
7,-0.33032,0.13599,-0.27661,jumping
7,0.30762,0.01318,-0.00391,jumping
7,0.2334,-0.0249,-0.28345,jumping
7,2.25415,-0.78809,0.04272,jumping
