sbj_id,acc_x,acc_y,acc_z,label
6,-0.74854,-0.44629,-0.17627,jumping
6,-0.87549,-0.2666,-0.00415,jumping
6,-0.88501,-0.37793,0.02124,jumping
6,-0.90942,-0.41699,-0.00781,jumping
6,-0.90381,-0.39185,-0.08008,jumping
6,-0.88062,-0.3667,-0.14185,jumping
6,-0.76611,-0.35645,-0.19019,jumping
6,-0.56494,-0.33252,-0.19385,jumping
6,-0.93433,-0.45923,-0.37231,jumping
6,-1.47607,-0.6626,-0.67749,jumping
6,-1.73657,-0.61938,-0.42993,jumping
6,-1.31714,-0.5647,0.12085,jumping
6,-0.26831,-0.27881,0.08984,jumping
6,0.19727,-0.01782,-0.06079,jumping
6,0.09448,-0.06763,-0.07715,jumping
6,-0.61108,-0.45435,0.03394,jumping
6,-1.50342,-0.78271,-0.31909,jumping
6,-1.58887,-0.72607,-1.05273,jumping
6,-1.58057,-0.8103,-0.823,jumping
6,-1.39771,-0.85962,-0.0647,jumping
6,-0.37329,-0.37598,0.15259,jumping
6,0.28613,0.09302,0.09497,jumping
6,0.13867,0.03784,0.04907,jumping
6,-0.40088,-0.43042,0.10034,jumping
6,-1.39844,-0.91431,-0.01025,jumping
6,-1.87061,-0.9707,-0.81006,jumping
6,-1.67017,-0.97852,-0.98462,jumping
6,-1.18726,-1.01172,-0.18091,jumping
6,-0.26489,-0.38037,0.13232,jumping
6,0.23511,0.12329,0.14062,jumping
6,0.177,0.0249,0.12915,jumping
6,-0.1377,-0.24634,0.01685,jumping
6,-1.43628,-0.91064,-0.19971,jumping
6,-1.93433,-1.20825,-0.89746,jumping
6,-1.68701,-1.052,-0.92261,jumping
6,-1.28442,-0.94336,-0.10229,jumping
6,-0.22217,-0.34277,0.14209,jumping
6,0.18066,0.0564,-0.04761,jumping
6,0.27441,-0.08472,0.03345,jumping
6,-0.00586,-0.20679,0.02197,jumping
6,-1.90527,-1.0708,-1.04761,jumping
6,-1.69238,-1.13257,-1.4165,jumping
6,-1.40942,-1.125,-0.21387,jumping
6,-0.41235,-0.49976,0.22217,jumping
6,0.29614,-0.00366,0.1416,jumping
6,0.24146,0.01782,0.13403,jumping
6,-0.02075,-0.12842,0.04443,jumping
6,-0.86011,-0.62012,0.0271,jumping
6,-1.71558,-0.93481,-0.55298,jumping
6,-1.85059,-1.01416,-1.03638,jumping
6,-1.6709,-1.07739,-0.56055,jumping
6,-0.98071,-0.80127,-0.00244,jumping
6,-0.05298,-0.19849,0.07666,jumping
6,0.28076,0.03394,0.02954,jumping
6,0.14185,-0.10059,0.09424,jumping
6,-0.17334,-0.35059,0.14819,jumping
6,-1.16455,-0.61621,-0.04761,jumping
6,-1.74292,-1.2522,-0.9458,jumping
6,-1.5105,-1.57104,-1.54541,jumping
6,-1.30151,-1.35547,-0.68481,jumping
6,-0.63208,-0.64136,0.06934,jumping
6,0.13159,0.12427,0.1355,jumping
6,0.31982,0.16479,0.11768,jumping
6,0.05396,-0.01636,0.07959,jumping
6,-0.74243,-0.55859,0.01343,jumping
6,-1.42651,-1.09424,-0.3916,jumping
6,-1.52222,-1.25488,-0.94434,jumping
6,-1.46045,-1.2688,-0.81323,jumping
6,-1.14917,-1.02539,-0.07251,jumping
6,-0.29761,-0.23779,0.11182,jumping
6,0.23657,0.0459,0.04834,jumping
6,0.14331,0.04614,0.08301,jumping
6,-0.09351,-0.01562,0.05664,jumping
6,-1.38135,-0.6001,0.28955,jumping
6,-2.03003,-0.57495,-0.85986,jumping
6,-1.73511,-0.72388,-1.65552,jumping
6,-1.60034,-0.99121,-0.61694,jumping
6,-0.68335,-0.37939,-0.073,jumping
6,0.13916,0.01562,0.13672,jumping
6,-0.0354,-0.02856,0.08789,jumping
6,-0.84058,-0.37817,-0.01709,jumping
6,-1.48779,-1.02832,-0.21777,jumping
6,-1.96924,-0.81372,-0.65381,jumping
6,-2.09595,-0.50684,-0.53149,jumping
6,-1.16797,-0.55298,0.18286,jumping
6,-0.18213,0.00708,0.0083,jumping
6,0.22144,-0.1333,-0.05933,jumping
6,-0.03076,-0.13208,0.1416,jumping
6,-0.10181,-0.07568,-0.00659,jumping
6,-1.20996,-0.53857,-0.2417,jumping
6,-1.94995,-0.68188,-0.95068,jumping
6,-1.5625,-0.93799,-1.17822,jumping
6,-1.63623,-1.00171,-0.52661,jumping
6,-1.17163,-0.58301,0.16943,jumping
6,-0.01929,0.02466,0.12817,jumping
6,0.29663,-0.00269,0.02368,jumping
6,0.05664,-0.1228,0.15308,jumping
6,-0.17334,-0.19116,0.11597,jumping
6,-1.49927,-0.44385,-0.24927,jumping
6,-2.06396,-0.65527,-1.1189,jumping
6,-1.75806,-0.73755,-1.0603,jumping
6,-1.71265,-0.67383,-0.12842,jumping
6,-0.97876,-0.41919,0.17944,jumping
6,0.01636,0.04272,0.06079,jumping
6,0.22729,0.04834,0.05078,jumping
6,-0.0083,-0.1189,0.05737,jumping
6,-0.23828,-0.29248,0.02051,jumping
6,-1.65381,-0.65967,-0.17822,jumping
6,-2.1936,-0.85303,-0.96655,jumping
6,-1.85889,-0.75562,-0.74121,jumping
6,-1.45264,-0.73145,-0.12842,jumping
6,-0.33521,-0.42603,-0.24951,jumping
6,0.18018,0.05664,-0.03711,jumping
6,0.10083,-0.0415,0.25977,jumping
6,0.0271,-0.15552,0.18872,jumping
6,-0.83374,-0.67505,0.17725,jumping
6,-1.95898,-0.75,-0.57983,jumping
6,-1.7998,-1.06812,-0.23267,jumping
6,-0.94946,-0.59399,0.17871,jumping
6,0.00073,-0.12036,0.13696,jumping
6,0.177,0.04224,0.02588,jumping
6,0.10107,-0.04028,0.05151,jumping
6,-0.146,-0.17188,-0.01074,jumping
6,-1.26343,-0.26562,-0.09009,jumping
6,-2.13672,-0.99756,-0.67407,jumping
6,-1.82593,-1.42627,-1.32642,jumping
6,-1.42017,-0.93823,-0.67578,jumping
6,-0.73633,-0.57446,0.19067,jumping
6,0.09839,-0.09448,0.09937,jumping
6,0.3186,-0.00317,0.1626,jumping
6,0.0791,0.02368,0.18164,jumping
6,-0.37646,-0.35034,0.09253,jumping
6,-1.55029,-0.75928,-0.27905,jumping
6,-1.72949,-0.88721,-1.14551,jumping
6,-1.53809,-0.78906,-1.18359,jumping
6,-1.63232,-0.7937,-0.41113,jumping
6,-0.9585,-0.60571,-0.03809,jumping
6,0.01172,-0.05225,0.02588,jumping
6,0.28931,0.11987,0.17407,jumping
6,-0.02075,0.05176,0.23535,jumping
6,-0.39258,-0.24707,0.2146,jumping
6,-1.37109,-0.84033,-0.27148,jumping
6,-1.88403,-1.06567,-1.4165,jumping
6,-1.73071,-0.7207,-1.24048,jumping
6,-1.45142,-0.81714,-0.12231,jumping
6,-0.67554,-0.31543,-0.0144,jumping
6,0.14771,0.10522,-0.00317,jumping
6,0.11865,0.01416,0.16675,jumping
6,-0.0249,-0.08008,0.1145,jumping
6,-0.54565,-0.60986,0.0686,jumping
6,-1.6123,-0.8772,-0.64453,jumping
6,-1.83105,-0.65479,-1.45068,jumping
6,-1.76147,-0.6106,-0.85181,jumping
6,-1.37427,-0.95459,-0.07935,jumping
6,-0.55933,-0.39941,0.04224,jumping
6,0.21411,0.00928,0.05054,jumping
6,-0.01685,-0.08887,0.03125,jumping
6,-0.78687,-0.46704,-0.02832,jumping
6,-1.90015,-0.66089,-0.55469,jumping
6,-2.04736,-0.64526,-0.9668,jumping
6,-1.86841,-0.83618,-0.47412,jumping
6,-1.21045,-0.66357,-0.02124,jumping
6,-0.12109,-0.02661,-0.02588,jumping
6,0.23633,0.03906,-0.01929,jumping
6,0.09888,-0.09253,0.01538,jumping
6,0.0271,-0.1665,-0.02344,jumping
6,-1.2207,-0.44189,-0.02515,jumping
6,-2.20605,-0.68335,-0.78809,jumping
6,-1.79126,-0.8208,-1.15894,jumping
6,-1.50171,-0.92554,-0.46118,jumping
6,-1.11035,-0.68286,0.14185,jumping
6,-0.07788,-0.09912,0.07471,jumping
6,0.23877,0.05908,-0.01685,jumping
6,0.0022,-0.06396,0.16821,jumping
6,-0.05127,-0.08398,-0.07056,jumping
6,-1.27881,-0.79907,-0.08765,jumping
6,-2.11255,-1.03467,-0.97266,jumping
6,-1.8584,-0.72852,-1.42725,jumping
6,-1.47827,-0.96313,-0.37109,jumping
6,-0.5542,-0.3125,-0.03833,jumping
6,0.29688,-0.08594,-0.17017,jumping
6,0.18457,-0.28101,0.06055,jumping
6,-0.00366,-0.05542,0.17456,jumping
6,-0.75513,-0.55933,0.19312,jumping
6,-1.68848,-0.57373,-0.52026,jumping
6,-2.00488,-0.16919,-1.16724,jumping
6,-1.89917,-0.28882,-0.49951,jumping
6,-1.21387,-0.6853,0.27026,jumping
6,-0.32837,-0.51196,0.24536,jumping
6,0.22314,-0.12598,-0.02319,jumping
6,0.11792,-0.08838,-0.03516,jumping
6,-0.07983,-0.1062,-0.05005,jumping
6,-1.25708,-0.35059,-0.18188,jumping
6,-1.9126,-0.46582,-0.71143,jumping
6,-1.80347,-0.75488,-0.59497,jumping
6,-1.04395,-0.70532,-0.04468,jumping
6,-0.1062,-0.06738,0.17432,jumping
6,0.20752,0.11206,0.11816,jumping
6,0.00879,-0.01025,0.17261,jumping
6,-0.16724,-0.16406,0.12305,jumping
6,-1.43579,-0.61304,0.15283,jumping
6,-1.95532,-0.96069,-0.70996,jumping
6,-1.74683,-0.69165,-1.06226,jumping
6,-1.73584,-0.56787,-0.26562,jumping
6,-0.99292,-0.57837,0.1604,jumping
6,0.06396,-0.11279,0.11865,jumping
6,0.2041,0.04004,0.07227,jumping
6,-0.01514,0.00195,0.11572,jumping
6,-0.24097,-0.18604,0.09814,jumping
6,-1.48584,-0.77368,-0.0896,jumping
6,-1.93945,-0.948,-0.85229,jumping
6,-1.74316,-0.64111,-0.87891,jumping
6,-1.72388,-0.7688,-0.17749,jumping
6,-1.01636,-0.56152,0.15527,jumping
6,0.05957,0.03735,-0.0188,jumping
