sbj_id,acc_x,acc_y,acc_z,label
7,0.07861,0.12695,0.15259,day_0
7,0.30469,0.34717,0.1377,day_0
7,0.53394,0.51587,-0.72656,day_0
7,0.89111,0.12402,-0.99048,day_0
7,0.77295,-0.54297,-0.65112,day_0
7,0.45801,-0.17871,-0.05566,day_0
7,1.25513,-0.22388,-0.79419,day_0
7,2.60571,-1.69019,-1.18042,day_0
7,2.65356,-1.3689,-0.65894,day_0
7,0.96411,-0.41382,0.15015,day_0
7,-0.45288,0.04663,0.20361,day_0
7,-1.198,0.22144,-0.06714,day_0
7,-0.896,0.29077,-0.02515,day_0
7,-0.56226,0.2854,-0.2959,day_0
7,2.30371,-0.82666,0.37622,day_0
7,3.44824,-2.37402,0.54468,day_0
7,1.84351,-1.20215,-0.46069,day_0
7,-0.25195,-0.59961,-0.80005,day_0
7,-0.14111,0.03101,0.16016,day_0
7,-0.06714,0.20361,0.29517,day_0
7,-0.146,0.0271,0.13403,day_0
7,0.06763,-0.06128,-0.07959,day_0
7,1.15527,-0.32983,-0.24658,day_0
7,4.11694,-1.87524,0.85645,day_0
7,1.85254,-0.99707,-0.18945,day_0
7,-0.02539,0.21191,-0.11426,day_0
7,0.1228,0.34937,-0.06885,day_0
7,-0.11572,0.20483,-0.13745,day_0
7,0.08936,-0.05249,-0.15137,day_0
7,0.78247,-0.1875,-0.35938,day_0
7,3.92944,-1.59546,1.05151,day_0
7,2.30713,-1.28809,0.09937,day_0
7,-0.19214,-0.29321,-0.45166,day_0
7,0.08862,0.26733,0.10767,day_0
7,-0.05908,0.31445,0.05518,day_0
7,-0.00781,0.0083,-0.07324,day_0
7,0.09448,-0.05127,-0.11597,day_0
7,1.63794,-0.47021,-0.27954,day_0
7,4.44849,-1.62598,0.98096,day_0
7,1.52417,-0.97461,-0.63208,day_0
7,-0.27344,-0.41797,-0.64307,day_0
7,-0.0127,0.16724,0.08472,day_0
7,-0.11011,0.32153,0.09131,day_0
7,-0.07642,0.04517,-0.05322,day_0
7,0.08228,-0.05273,-0.17676,day_0
7,3.52832,-1.06494,0.35498,day_0
7,3.27368,-1.65454,0.70117,day_0
7,-0.03833,-0.37476,-0.79077,day_0
7,0.16797,-0.04883,0.13916,day_0
7,-0.10327,0.33765,0.08105,day_0
7,-0.03833,0.00024,0.02783,day_0
7,0.02441,-0.03101,-0.16211,day_0
7,0.20239,-0.22168,-0.31079,day_0
7,3.57275,-0.92822,0.23608,day_0
7,3.4104,-1.6582,0.38403,day_0
7,0.13794,-0.46997,-1.08057,day_0
7,0.14526,0.04028,0.177,day_0
7,-0.07861,0.37524,0.28125,day_0
7,-0.05151,0.02905,0.17603,day_0
7,-0.00391,-0.03442,-0.12524,day_0
7,0.10474,-0.2373,-0.34717,day_0
7,3.32471,-0.97876,0.07349,day_0
7,3.73218,-1.8938,0.78516,day_0
7,0.52051,-0.5769,-0.83398,day_0
7,-0.03174,-0.00244,0.13184,day_0
7,-0.08032,0.14648,0.15991,day_0
7,0.0376,-0.02295,-0.06494,day_0
7,-0.03809,0.00415,-0.13599,day_0
7,0.10938,-0.12134,-0.46729,day_0
7,3.4314,-1.22852,0.19312,day_0
7,3.61792,-1.56201,-0.10083,day_0
7,0.65527,-0.77686,-1.02637,day_0
7,-0.0354,0.04565,0.2146,day_0
7,-0.06177,0.28955,0.26074,day_0
7,-0.13794,0.00024,0.1001,day_0
7,0.03394,-0.01416,-0.19458,day_0
7,0.01172,-0.06201,-0.2395,day_0
7,1.78418,-0.33276,-0.03613,day_0
7,5.12793,-1.83105,1.18994,day_0
7,1.28906,-0.65918,-0.79858,day_0
7,-0.22754,-0.15942,-0.34839,day_0
7,-0.11963,0.29639,0.07886,day_0
7,-0.09009,0.11328,0.10229,day_0
7,-0.06689,-0.08569,-0.17114,day_0
7,-0.00342,-0.10986,-0.28979,day_0
7,2.78638,-0.70776,-0.04517,day_0
7,4.43262,-1.81128,1.20947,day_0
7,0.7312,-0.47314,-1.48706,day_0
7,-0.26831,-0.31421,-0.31152,day_0
7,-0.08447,0.33521,0.18677,day_0
7,-0.06689,0.13696,0.08887,day_0
7,-0.00854,-0.03271,-0.05762,day_0
7,-0.03076,-0.07886,-0.16284,day_0
