sbj_id,acc_x,acc_y,acc_z,label
3,-2.32495,2.64233,-1.49585,day_0
3,-1.74048,2.54102,-0.37646,day_0
3,0.15063,0.96753,0.13843,day_0
3,0.38989,-0.40381,0.10791,day_0
3,0.0769,-0.17773,0.18555,day_0
3,-1.38281,0.25024,-0.32593,day_0
3,-0.6438,-0.09521,0.16553,day_0
3,0.73022,-1.28271,0.54321,day_0
3,0.07983,-1.00244,0.39722,day_0
3,-0.03735,1.02808,0.3501,day_0
3,-0.27832,2.21973,-0.41724,day_0
3,1.50488,2.43799,-2.53882,day_0
3,2.6167,1.98193,-2.88403,day_0
3,1.57935,1.99219,-1.42529,day_0
3,0.53833,0.5144,-0.42017,day_0
3,-0.0022,-0.05298,0.10693,day_0
3,-0.43945,0.46289,0.0415,day_0
3,-1.17773,0.11353,0.03931,day_0
3,0.7793,-0.6416,0.09937,day_0
3,0.27563,-1.14844,0.18066,day_0
3,0.11084,0.15308,-0.22437,day_0
3,0.71484,1.0354,-0.09619,day_0
3,1.06201,1.19531,-1.20703,day_0
3,2.64282,1.14478,-2.48193,day_0
3,2.64673,0.97266,-1.9209,day_0
3,1.32324,0.82031,-1.09375,day_0
3,0.34058,-0.1084,-0.21753,day_0
3,0.0127,0.20483,0.12646,day_0
3,-1.88037,0.44531,-0.3833,day_0
3,-0.1875,-0.42749,0.14648,day_0
3,0.6897,-1.89844,0.70996,day_0
3,0.30054,-0.41699,0.01807,day_0
3,0.80078,1.38965,-0.09302,day_0
3,0.70264,0.87256,-0.62817,day_0
3,2.44312,0.53174,-2.1665,day_0
3,3.63257,0.65552,-2.00562,day_0
3,2.1897,0.3877,-1.00317,day_0
3,0.36523,-0.00513,-0.3335,day_0
3,-0.18481,0.30542,0.23682,day_0
3,-1.52734,0.77759,-0.09961,day_0
3,-0.33813,-0.30786,0.2229,day_0
3,0.97632,-1.26831,0.24927,day_0
3,0.15454,-0.875,0.05005,day_0
3,0.5459,0.177,-0.28076,day_0
